"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","Thisis manual","PENDING","2020-10-04T17:25:33.66+11:00[Australia/Sydney]","0.0","0.0"
"First serenity test","this test will get the info of all the student from the App","SUCCESS","2020-10-04T17:25:36.014+11:00[Australia/Sydney]","0.0","7.13"
"First serenity test","Filedoesntexist","COMPROMISED","2020-10-04T17:25:43.161+11:00[Australia/Sydney]","0.0","1.08"
"First serenity test","Thisisa skipped test","IGNORED","2020-10-04T17:25:44.261+11:00[Australia/Sydney]","0.0","1.19"
"First serenity test","This isa failing","FAILURE","2020-10-04T17:25:45.462+11:00[Australia/Sydney]","0.0","0.86"
"First serenity test","Thisisa pending test","PENDING","2020-10-04T17:25:46.344+11:00[Australia/Sydney]","0.0","1.23"
"First serenity test","Thisis a test with error","ERROR","2020-10-04T17:25:47.578+11:00[Australia/Sydney]","0.0","0.73"
"First serenity test","Get all students","SUCCESS","2020-10-04T17:25:48.312+11:00[Australia/Sydney]","0.0","1.21"
