"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","this test will get the info of all the student from the App","SUCCESS","2020-10-04T17:25:36.014+11:00[Australia/Sydney]","0.0","7.13"
"First serenity test","Get all students","SUCCESS","2020-10-04T17:25:48.312+11:00[Australia/Sydney]","0.0","1.21"
