"Story","Title","Result","Date","Stability","Duration (s)"
"Create student data driven test","DataDriven Test For adding multiple students to the Student App","ERROR","2020-10-20T18:18:20.23+11:00[Australia/Sydney]","0.0","420.36"
"First serenity test","this test will get the info of all the student from the App","ERROR","2020-10-20T18:18:30.127+11:00[Australia/Sydney]","0.0","5.31"
"First serenity test","This isa failing","ERROR","2020-10-20T18:18:37.492+11:00[Australia/Sydney]","0.0","4.81"
"First serenity test","Thisis a test with error","ERROR","2020-10-20T18:18:43.514+11:00[Australia/Sydney]","0.0","0.77"
"First serenity test","Get all students","ERROR","2020-10-20T18:18:44.284+11:00[Australia/Sydney]","0.0","5.18"
"Student crud test","This test will create new student","ERROR","2020-10-20T18:18:49.922+11:00[Australia/Sydney]","0.0","5.01"
"Student crud test","Verify if the student is added to the application","ERROR","2020-10-20T18:18:54.938+11:00[Australia/Sydney]","0.0","5.71"
"Student crud test","Update the user's info and verify the update information","ERROR","2020-10-20T18:19:00.661+11:00[Australia/Sydney]","0.0","4.89"
"Student crud test","Delete the student and verify if the student is deleted!","ERROR","2020-10-20T18:19:05.562+11:00[Australia/Sydney]","0.0","5.3"
