"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","Thisis manual","PENDING","2020-10-20T18:18:28.346+11:00[Australia/Sydney]","0.0","0.0"
"First serenity test","this test will get the info of all the student from the App","ERROR","2020-10-20T18:18:30.127+11:00[Australia/Sydney]","0.0","5.31"
"First serenity test","Filedoesntexist","COMPROMISED","2020-10-20T18:18:35.438+11:00[Australia/Sydney]","0.0","0.91"
"First serenity test","Thisisa skipped test","IGNORED","2020-10-20T18:18:36.352+11:00[Australia/Sydney]","0.0","1.14"
"First serenity test","This isa failing","ERROR","2020-10-20T18:18:37.492+11:00[Australia/Sydney]","0.0","4.81"
"First serenity test","Thisisa pending test","PENDING","2020-10-20T18:18:42.311+11:00[Australia/Sydney]","0.0","1.2"
"First serenity test","Thisis a test with error","ERROR","2020-10-20T18:18:43.514+11:00[Australia/Sydney]","0.0","0.77"
"First serenity test","Get all students","ERROR","2020-10-20T18:18:44.284+11:00[Australia/Sydney]","0.0","5.18"
